run_name,timestamp,avg_aug_gap,avg_no_aug_gap,solved,total,aug_factor,rerank_enabled,two_opt_enabled,distance_bias_enabled,knn_bias_enabled,leader_reward_enabled,total_runtime_ms,win_rate_vs_baseline,lose_rate_vs_baseline,tie_rate_vs_baseline,checkpoint_path,data_path
baseline,2026-04-23T13:29:10,2.329567752253744,3.753675687101596,10,10,8,False,False,False,False,False,1999.398946762085,0.0,0.0,1.0,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/saved_tsp100_model2_longTrain/checkpoint-3000.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t1_A,2026-04-23T15:14:27,1.824138637628947,3.3398979328684275,10,10,8,False,False,True,True,False,1544.1935062408447,0.5,0.3,0.2,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_001151_ft_m2_t1_A/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t2_A,2026-04-23T15:17:07,1.8784887286629801,3.328718232081338,10,10,8,False,False,True,True,False,1574.2344856262207,0.5,0.3,0.2,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_001430_ft_m2_t2_A/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t3_A,2026-04-23T15:19:46,1.8254255104245019,3.522161947829975,10,10,8,False,False,True,True,False,1576.5113830566406,0.5,0.2,0.3,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_001710_ft_m2_t3_A/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t4_A,2026-04-23T15:22:25,1.8836338035306697,3.486983151315755,10,10,8,False,False,True,True,False,1538.1453037261963,0.4,0.4,0.2,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_001949_ft_m2_t4_A/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t5_A,2026-04-23T15:25:03,1.9755092090569941,3.3688564645702144,10,10,8,False,False,True,True,False,1536.51762008667,0.5,0.2,0.3,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_002228_ft_m2_t5_A/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t7_A,2026-04-23T15:29:26,2.0062803652925885,3.223825029554026,10,10,8,False,False,True,True,False,1535.7654094696045,0.5,0.3,0.2,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_002650_ft_m2_t7_A/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t8_A,2026-04-23T15:32:05,1.8779490150248925,3.594423837914877,10,10,8,False,False,True,True,False,1558.7849617004395,0.4,0.4,0.2,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_002929_ft_m2_t8_A/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t9_A,2026-04-23T15:34:45,1.830091951835921,3.457978630972124,10,10,8,False,False,True,True,False,1696.1169242858887,0.5,0.3,0.2,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_003208_ft_m2_t9_A/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t10_A,2026-04-23T15:37:24,2.0011831710150956,3.4145826034262834,10,10,8,False,False,True,True,False,1596.9161987304688,0.4,0.5,0.1,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_003448_ft_m2_t10_A/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t12_A,2026-04-23T15:41:48,2.0408655063365484,3.4973029368427113,10,10,8,False,False,True,True,False,1644.04296875,0.4,0.3,0.3,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_003911_ft_m2_t12_A/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t13_A,2026-04-23T15:44:27,2.0246894478785693,3.4391890922825596,10,10,8,False,False,True,True,False,1538.4271144866943,0.5,0.3,0.2,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_004151_ft_m2_t13_A/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t14_A,2026-04-23T15:47:06,1.9041580089804366,3.783747308463228,10,10,8,False,False,True,True,False,1545.9232330322266,0.4,0.4,0.2,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_004430_ft_m2_t14_A/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t17_B,2026-04-23T15:53:13,1.6336375305335278,2.6250943027522835,10,10,8,False,False,True,True,False,1528.2373428344727,0.5,0.2,0.3,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_005039_ft_m2_t17_B/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t18_B,2026-04-23T15:55:54,1.6553943583311734,2.7906838964225784,10,10,8,False,False,True,True,False,1501.4257431030273,0.7,0.1,0.2,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_005316_ft_m2_t18_B/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t19_B,2026-04-23T15:58:32,1.5134406529589641,2.848165256122177,10,10,8,False,False,True,True,False,1499.3040561676025,0.5,0.4,0.1,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_005557_ft_m2_t19_B/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t20_B,2026-04-23T16:01:10,1.4243540610250716,3.2323516466070172,10,10,8,False,False,True,True,False,1558.8903427124023,0.5,0.2,0.3,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_005835_ft_m2_t20_B/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t21_B,2026-04-23T16:03:51,1.9812676597388055,3.3403946518502345,10,10,8,False,False,True,True,False,1595.5276489257812,0.5,0.4,0.1,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_010113_ft_m2_t21_B/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t22_B,2026-04-23T16:06:31,1.6252736284392995,3.196250317336554,10,10,8,False,False,True,True,False,1574.253797531128,0.5,0.3,0.2,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_010354_ft_m2_t22_B/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t23_B,2026-04-23T16:09:09,1.35632817270614,2.9223109314075386,10,10,8,False,False,True,True,False,1529.7977924346924,0.5,0.3,0.2,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_010634_ft_m2_t23_B/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t25_B,2026-04-23T16:13:33,1.9137421645645034,3.5145245681814345,10,10,8,False,False,True,True,False,1547.199010848999,0.5,0.4,0.1,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_011056_ft_m2_t25_B/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t26_B,2026-04-23T16:16:11,2.1727292526373847,3.111447626268383,10,10,8,False,False,True,True,False,1583.3587646484375,0.5,0.4,0.1,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_011336_ft_m2_t26_B/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t27_B,2026-04-23T16:18:49,1.8765033336923274,3.2776045235899227,10,10,8,False,False,True,True,False,1529.2272567749023,0.4,0.5,0.1,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_011614_ft_m2_t27_B/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t29_B,2026-04-23T16:23:17,1.9732594638085654,3.192908861464537,10,10,8,False,False,True,True,False,1578.3636569976807,0.4,0.4,0.2,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_012038_ft_m2_t29_B/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t30_B,2026-04-23T16:25:55,1.6011207045647584,3.2476748376897304,10,10,8,False,False,True,True,False,1528.3215045928955,0.5,0.3,0.2,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_012320_ft_m2_t30_B/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
m2_opt_t32_B,2026-04-23T16:30:20,1.9780340640332033,3.250782731613537,10,10,8,False,False,True,True,False,1708.7514400482178,0.6,0.4,0.0,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/POMO/result/20260424_012742_ft_m2_t32_B/checkpoint-3.pt,/home/zhaorj/Code/SDM-5031-2026-Spring/TSP/data/val
